Date,GDP_INR,GDP_USD
2004-03-01,7462770000000.00,166281787126.94
2004-06-01,7353630000000.00,164254894648.55
2004-06-01,7108080000000.00,158770149103.70
2004-09-01,7341450000000.00,159428646473.35
2004-09-01,7599350000000.00,165029263235.09
2004-12-01,8575560000000.00,191496084118.18
2004-12-01,8412740000000.00,187860240812.77
2005-03-01,8893540000000.00,204033212872.91
2005-03-01,8631800000000.00,198028443890.33
2005-06-01,8369900000000.00,192351832426.79
2005-06-01,8113850000000.00,186467450690.71
2005-09-01,8553370000000.00,196193234030.70
2005-09-01,8253770000000.00,189321148184.35
2005-12-01,9586050000000.00,211566884534.41
2005-12-01,9762260000000.00,215455889987.52
2006-03-01,10248200000000.00,231467128279.37
2006-03-01,9913780000000.00,223913876289.83
2006-06-01,9522590000000.00,210062598315.54
2006-06-01,9131870000000.00,201443550513.02
2006-09-01,9564180000000.00,206737447180.05
2006-09-01,10041600000000.00,217057264669.13
2006-12-01,11052900000000.00,246360852064.17
2006-12-01,11393100000000.00,253943654936.92
2007-03-01,11989800000000.00,272638161488.50
2007-03-01,11542700000000.00,262471476305.97
2007-06-01,11264800000000.00,274438473843.20
2007-06-01,10626100000000.00,258878157349.02
2007-09-01,11508000000000.00,285038123178.75
2007-09-01,10804300000000.00,267608393661.81
2007-12-01,13216500000000.00,336036784431.07
2007-12-01,12565000000000.00,319472038465.28
2008-03-01,13881600000000.00,349935446188.39
2008-03-01,13238700000000.00,333728849084.71
2008-06-01,12354300000000.00,297210050853.45
2008-06-01,13334600000000.00,320793338684.54
2008-09-01,13661800000000.00,310125712755.05
2008-09-01,12810500000000.00,290801024992.95
2008-12-01,14652900000000.00,301582081025.90
2008-12-01,14121800000000.00,290651122428.43
2009-03-01,13931000000000.00,280623123182.73
2009-03-01,14651300000000.00,295132694328.27
2009-06-01,14272100000000.00,293306216115.20
2009-06-01,14326500000000.00,294424191616.81
2009-09-01,14976500000000.00,310067015813.71
2009-09-01,14928200000000.00,309067033383.65
2009-12-01,17004900000000.00,365298781538.27
2009-12-01,16954600000000.00,364218238358.87
2010-03-01,18470500000000.00,402972716525.44
2010-03-01,18819300000000.00,410582520457.33
2010-06-01,17441800000000.00,383032814980.16
2010-06-01,17173500000000.00,377140779510.24
2010-09-01,17610400000000.00,379732259939.50
2010-09-01,17869800000000.00,385325690425.36
2010-12-01,20451600000000.00,457064337063.14
2010-12-01,20157300000000.00,450487148266.29
2011-03-01,22078000000000.00,488789598020.19
2011-03-01,22244500000000.00,492475777387.45
2011-06-01,13218700000000.00,296126955036.77
2011-06-01,20435000000000.00,457787401648.91
2011-06-01,20683600000000.00,463356569647.43
2011-09-01,20294700000000.00,444199180587.49
2011-09-01,13211800000000.00,289172578756.32
2011-09-01,20851700000000.00,456390488839.75
2011-12-01,23559500000000.00,464515975795.70
2011-12-01,22448500000000.00,442610704074.78
2011-12-01,14482100000000.00,285539455976.18
2012-03-01,24185100000000.00,480501710773.11
2012-03-01,25002400000000.00,496739561690.19
2012-03-01,15417800000000.00,306315842248.23
2012-06-01,23132000000000.00,428716031460.08
2012-06-01,23087300000000.00,427887585730.95
2012-06-01,13743500000000.00,254714628150.25
2012-09-01,13828700000000.00,250548556590.55
2012-09-01,23569500000000.00,427032490730.22
2012-09-01,23412900000000.00,424195210005.20
2012-12-01,25483800000000.00,470850785086.81
2012-12-01,26579400000000.00,491093610730.60
2012-12-01,15252600000000.00,281814277486.68
2013-03-01,27254800000000.00,503034460440.99
2013-03-01,28053200000000.00,517770312959.30
2013-03-01,16173800000000.00,298515445216.27
2013-06-01,14322400000000.00,257128541466.51
2013-06-01,25469400000000.00,457249460567.16
2013-06-01,25653700000000.00,460558179091.44
2013-09-01,14543500000000.00,234186505158.44
2013-09-01,26862000000000.00,432544978964.21
2013-09-01,26586200000000.00,428103913325.08
2013-12-01,29210700000000.00,471068668832.45
2013-12-01,30026800000000.00,484229570167.72
2013-12-01,15926400000000.00,256838351949.57
2014-03-01,30608700000000.00,495976097917.72
2014-03-01,31468300000000.00,509904851957.26
2014-03-01,17166200000000.00,278157023724.47
2014-06-01,29143900000000.00,487783987529.84
2014-06-01,28426000000000.00,475768432828.94
2014-09-01,30539800000000.00,504511228562.69
2014-09-01,29275900000000.00,483631859942.71
2014-12-01,31849200000000.00,514504743580.75
2015-03-01,33146700000000.00,532575092443.49
2015-06-01,32435400000000.00,511884688555.04
2015-09-01,33558800000000.00,516773841160.05
2015-12-01,34766300000000.00,527666151292.78
2016-03-01,36958100000000.00,547692561345.46
2016-06-01,36397700000000.00,544311752341.99
2016-09-01,37541200000000.00,560927803648.97
2016-12-01,38750100000000.00,574984338888.60
2017-03-01,41227700000000.00,615590370205.34
2017-06-01,40089200000000.00,621905713046.44
2017-09-01,41572500000000.00,646866333405.61
2017-12-01,43391900000000.00,670483009127.29
2018-03-01,45846900000000.00,712575699231.73
2018-06-01,45693700000000.00,681552956014.20
2018-09-01,46560200000000.00,663963408663.28
2018-12-01,48730000000000.00,674548784950.20
2019-03-01,48012800000000.00,680409729518.59
2019-06-01,49513800000000.00,710739137469.36
2019-09-01,48681400000000.00,690370967825.27
2019-12-01,51353400000000.00,720543213268.31
2020-03-01,51487300000000.00,710148778750.43
2020-06-01,38939400000000.00,511931281524.77
2020-09-01,47282800000000.00,634951132726.68
2020-12-01,54741700000000.00,741151068707.20
2021-03-01,57577000000000.00,789683401603.32
2021-06-01,51781700000000.00,701988867521.61
2021-09-01,56273100000000.00,759469441711.23
2021-12-01,62683200000000.00,836461694571.23
2022-03-01,65235900000000.00,867332658869.74
2022-06-01,64998600000000.00,842357122864.81
2022-09-01,64580200000000.00,809836828606.27
2022-12-01,68275100000000.00,831440420638.11
2023-03-01,71050800000000.00,864288228545.37
2023-06-01,72116300000000.00,877767860640.58
2023-09-01,72407000000000.00,875785356950.80
2023-12-01,77096700000000.00,925912319034.72
2024-03-01,79609700000000.00,958619850217.36
2024-06-01,79077000000000.00,947949961297.89
2024-09-01,78389700000000.00,935922235303.47
2024-12-01,84738700000000.00,1006653140284.89
